time,MRI-ESM2-0
2000.0,715441853800.0
2001.0,715620092700.0
2002.0,715057637200.0
2003.0,713500160400.0
2004.0,712673006200.0
2005.0,714333069400.0
2006.0,712339118500.0
2007.0,711011293500.0
2008.0,711051381200.0
2009.0,710376353000.0
2010.0,713021222100.0
2011.0,711561606800.0
2012.0,709271319800.0
2013.0,709185533000.0
2014.0,708780744000.0
2015.0,708205446000.0
2016.0,707780824900.0
2017.0,704374193700.0
2018.0,704391300600.0
2019.0,705014600700.0
2020.0,701923600240.0
2021.0,699935579100.0
2022.0,699832719400.0
2023.0,697828569400.0
2024.0,697007488960.0
2025.0,694219793500.0
2026.0,692945069300.0
2027.0,690289293200.0
2028.0,689181391060.0
2029.0,686611849600.0
2030.0,685885677660.0
2031.0,683165458600.0
2032.0,680827518200.0
2033.0,680439014800.0
2034.0,676755738300.0
2035.0,673180721600.0
2036.0,671670951650.0
2037.0,669442568740.0
2038.0,665066068640.0
2039.0,663317578000.0
2040.0,660027280360.0
2041.0,656998222500.0
2042.0,654092710000.0
2043.0,654656506260.0
2044.0,650055284340.0
2045.0,647105006500.0
2046.0,642668761700.0
2047.0,639227196800.0
2048.0,637098819760.0
2049.0,634408848090.0
2050.0,631954110680.0
2051.0,629066762600.0
2052.0,625440561200.0
2053.0,622638120750.0
2054.0,618925212820.0
2055.0,616818010400.0
2056.0,614539812860.0
2057.0,613287213810.0
2058.0,608437389980.0
2059.0,606760883600.0
2060.0,603768253400.0
2061.0,600437959750.0
2062.0,601459688720.0
2063.0,596090780090.0
2064.0,600989147260.0
2065.0,591512163840.0
2066.0,588056006170.0
2067.0,584851926490.0
2068.0,587043600930.0
2069.0,580346392370.0
2070.0,577934241560.0
2071.0,576512243240.0
2072.0,580620229360.0
2073.0,576846495280.0
2074.0,571931860400.0
2075.0,569859006320.0
2076.0,572286686490.0
2077.0,567463243700.0
2078.0,564035036420.0
2079.0,559777297650.0
2080.0,557513470200.0
2081.0,558135774770.0
2082.0,555936247970.0
2083.0,549701216570.0
2084.0,548457080100.0
2085.0,552054331720.0
2086.0,549314776060.0
2087.0,543406101760.0
2088.0,539605129640.0
2089.0,538132730010.0
2090.0,540460157160.0
2091.0,534983958560.0
2092.0,540037287660.0
2093.0,530843734200.0
2094.0,531451061940.0
2095.0,539050690790.0
2096.0,529857431830.0
2097.0,538494719880.0
2098.0,530062583630.0
2099.0,527931479280.0
2100.0,532983857540.0
