,n_glaciers,n_missing_glaciers,rgi_area_km2,missing_area_km2,missing_area_perc
RGI12,1888,341,1306.992,155.91500000000002,0.11929300255854666
RGI10,5151,144,2410.051,86.121,0.03573409857301775
RGI02,18855,566,14524.224,28.748000000000005,0.0019793140067242147
RGI19,2752,423,132867.219,255.154,0.0019203683340433277
RGI17,15908,50,29429.079999999998,28.322,0.0009623814268064105
RGI15,13119,22,14734.204,13.333999999999998,0.0009049691452622753
RGI16,2939,9,2341.036,1.6929999999999998,0.0007231840945632616
RGI09,1069,2,51591.6,23.288,0.0004513913117639306
RGI01,27108,45,86725.053,27.915999999999997,0.00032189083816414613
RGI11,3927,25,2092.1459999999997,0.5770000000000001,0.00027579337197308415
RGI07,1615,3,33958.933999999994,9.056,0.0002666750375615442
RGI14,27988,47,33568.298,8.217,0.0002447845285453555
RGI04,7415,33,40888.228,8.182,0.0002001064951995474
RGI08,3417,10,2949.103,0.558,0.00018921007506350238
RGI13,54429,52,49303.41500000001,8.918,0.00018087996541416043
RGI05,19306,30,89717.06599999999,9.669,0.00010777213780040468
RGI03,4556,16,105110.64199999999,6.51,6.193473730281279e-05
RGI18,3537,1,1161.801,0.031,2.668271072240427e-05
RGI06,568,2,11059.699999999999,0.264,2.3870448565512632e-05
