time,MRI-ESM2-0
2000.0,127706464000.0
2001.0,127887490000.0
2002.0,127481150000.0
2003.0,127778590000.0
2004.0,122733840000.0
2005.0,121362250000.0
2006.0,118708650000.0
2007.0,115929194000.0
2008.0,114650090000.0
2009.0,113719116000.0
2010.0,110781530000.0
2011.0,109716760000.0
2012.0,106677020000.0
2013.0,104420340000.0
2014.0,103666690000.0
2015.0,104509910000.0
2016.0,100689260000.0
2017.0,98733590000.0
2018.0,95869120000.0
2019.0,92641500000.0
2020.0,90463445000.0
2021.0,89703520000.0
2022.0,88160920000.0
2023.0,84749650000.0
2024.0,79564190000.0
2025.0,76444800000.0
2026.0,71157260000.0
2027.0,68215075000.0
2028.0,66852905000.0
2029.0,66146152000.0
2030.0,63117296000.0
2031.0,61005787000.0
2032.0,58609136000.0
2033.0,56690754000.0
2034.0,53815850000.0
2035.0,52277723000.0
2036.0,48874717000.0
2037.0,46331460000.0
2038.0,44844340000.0
2039.0,41736890000.0
2040.0,40060817000.0
2041.0,37396963000.0
2042.0,34921970000.0
2043.0,32717767000.0
2044.0,31298673000.0
2045.0,30506010000.0
2046.0,29319752000.0
2047.0,28855673000.0
2048.0,27431823000.0
2049.0,25221183000.0
2050.0,24465180000.0
2051.0,22877202000.0
2052.0,22610203000.0
2053.0,21986900000.0
2054.0,21596699000.0
2055.0,22042479000.0
2056.0,21850862000.0
2057.0,20747457000.0
2058.0,19599426000.0
2059.0,19440600000.0
2060.0,17961538000.0
2061.0,17422320000.0
2062.0,16451022000.0
2063.0,16506280000.0
2064.0,16109160000.0
2065.0,15804842000.0
2066.0,15504062000.0
2067.0,14977508000.0
2068.0,14603466000.0
2069.0,13831972000.0
2070.0,13083446000.0
2071.0,12219427000.0
2072.0,11758073000.0
2073.0,11178377000.0
2074.0,11063296000.0
2075.0,10544004000.0
2076.0,10043467000.0
2077.0,9918217000.0
2078.0,9122501000.0
2079.0,8747971000.0
2080.0,8633540000.0
2081.0,8730337000.0
2082.0,8880075000.0
2083.0,8714652000.0
2084.0,8296308000.0
2085.0,8066197500.0
2086.0,7886711000.0
2087.0,7336627000.0
2088.0,6616163300.0
2089.0,6294451700.0
2090.0,5921027600.0
2091.0,5593624000.0
2092.0,5327392000.0
2093.0,5171990500.0
2094.0,5365602300.0
2095.0,4960687000.0
2096.0,4774463000.0
2097.0,4382421500.0
2098.0,4178932200.0
2099.0,3949893000.0
2100.0,3689653200.0
