time,MRI-ESM2-0
2000.0,156138255014000.0
2001.0,156049074931000.0
2002.0,155921211270000.0
2003.0,155642358145000.0
2004.0,155408499592000.0
2005.0,155177462169000.0
2006.0,154968558670000.0
2007.0,154672519529000.0
2008.0,154357145345000.0
2009.0,154134697561000.0
2010.0,153799615588000.0
2011.0,153505331294000.0
2012.0,153167711083000.0
2013.0,152842017056000.0
2014.0,152418117063000.0
2015.0,152247021595000.0
2016.0,151937372116000.0
2017.0,151315464222000.0
2018.0,150912294330000.0
2019.0,150615814492000.0
2020.0,149994130319000.0
2021.0,149549730803000.0
2022.0,149119725900000.0
2023.0,148569105106000.0
2024.0,148187061584000.0
2025.0,147778121075000.0
2026.0,147287091372000.0
2027.0,146641643801000.0
2028.0,146056715431000.0
2029.0,145467027533000.0
2030.0,144890563626000.0
2031.0,144160695834000.0
2032.0,143588960743000.0
2033.0,143210786196000.0
2034.0,142587242997000.0
2035.0,141905423695000.0
2036.0,141359052148000.0
2037.0,140490963208000.0
2038.0,139838025497000.0
2039.0,139287577563000.0
2040.0,138644929198000.0
2041.0,137891583198000.0
2042.0,137252331237000.0
2043.0,136458117400000.0
2044.0,135589236097000.0
2045.0,134991831190000.0
2046.0,134430662765000.0
2047.0,133679863546000.0
2048.0,132606314899000.0
2049.0,131832775265000.0
2050.0,131220449686000.0
2051.0,130368422990000.0
2052.0,129390782661000.0
2053.0,128251489917000.0
2054.0,127408978553000.0
2055.0,126271903356000.0
2056.0,125206113418000.0
2057.0,124156383319000.0
2058.0,123034674599000.0
2059.0,121878885884000.0
2060.0,121114687375000.0
2061.0,120106156337000.0
2062.0,119313444530000.0
2063.0,118281493342000.0
2064.0,117392605539000.0
2065.0,116368062695000.0
2066.0,115492965388000.0
2067.0,114512886092000.0
2068.0,113250704775000.0
2069.0,112334202474000.0
2070.0,111095012222000.0
2071.0,109673596787000.0
2072.0,108424190313400.0
2073.0,107473336611000.0
2074.0,106303166315600.0
2075.0,105146410470000.0
2076.0,103923565204100.0
2077.0,102840783617500.0
2078.0,101588685004500.0
2079.0,100427867876700.0
2080.0,99239973224000.0
2081.0,97997017931700.0
2082.0,96934082411600.0
2083.0,95803631002700.0
2084.0,94889191488000.0
2085.0,93717178413900.0
2086.0,92583516551000.0
2087.0,91395487889400.0
2088.0,90338106430600.0
2089.0,89397369709700.0
2090.0,88201688100900.0
2091.0,87169292362400.0
2092.0,86006063709100.0
2093.0,84451848054500.0
2094.0,83281104848500.0
2095.0,82213235410700.0
2096.0,80961990090500.0
2097.0,79758547386800.0
2098.0,78707831148700.0
2099.0,77822700615600.0
2100.0,77009854454900.0
