time,MRI-ESM2-0
2000.0,41045180000.0
2001.0,40989730000.0
2002.0,40960176000.0
2003.0,40938754000.0
2004.0,40905875000.0
2005.0,40886907000.0
2006.0,41045550000.0
2007.0,40875274000.0
2008.0,40817336000.0
2009.0,40781940000.0
2010.0,40746303000.0
2011.0,40704307000.0
2012.0,40672950000.0
2013.0,40644903000.0
2014.0,40620974000.0
2015.0,40576060000.0
2016.0,40537240000.0
2017.0,40497517000.0
2018.0,40621250000.0
2019.0,40450863000.0
2020.0,40405610000.0
2021.0,40340840000.0
2022.0,40293265000.0
2023.0,40239337000.0
2024.0,40184586000.0
2025.0,40103924000.0
2026.0,40024820000.0
2027.0,39924330000.0
2028.0,39838847000.0
2029.0,39745593000.0
2030.0,39655637000.0
2031.0,39534560000.0
2032.0,39433360000.0
2033.0,39328846000.0
2034.0,39217697000.0
2035.0,39100520000.0
2036.0,39025280000.0
2037.0,38908326000.0
2038.0,38786400000.0
2039.0,38635758000.0
2040.0,38485025000.0
2041.0,38384976000.0
2042.0,38305214000.0
2043.0,38118474000.0
2044.0,37943610000.0
2045.0,37797060000.0
2046.0,37654626000.0
2047.0,37485085000.0
2048.0,37341330000.0
2049.0,37169460000.0
2050.0,37010043000.0
2051.0,36841337000.0
2052.0,36683248000.0
2053.0,36547834000.0
2054.0,36362270000.0
2055.0,36129473000.0
2056.0,35896152000.0
2057.0,35751182000.0
2058.0,35535147000.0
2059.0,35405505000.0
2060.0,35177247000.0
2061.0,34958615000.0
2062.0,34754834000.0
2063.0,34524780000.0
2064.0,34324257000.0
2065.0,34130997000.0
2066.0,33966078000.0
2067.0,33800724000.0
2068.0,33559294000.0
2069.0,33388920000.0
2070.0,33205170000.0
2071.0,33015783000.0
2072.0,32869073000.0
2073.0,32675170000.0
2074.0,32568617000.0
2075.0,32375781000.0
2076.0,32192379000.0
2077.0,31973290000.0
2078.0,31797555000.0
2079.0,31588514000.0
2080.0,31488514000.0
2081.0,31339407000.0
2082.0,31138050000.0
2083.0,30960908000.0
2084.0,30781325000.0
2085.0,30621060000.0
2086.0,30491490000.0
2087.0,30303700000.0
2088.0,30133987000.0
2089.0,29955297000.0
2090.0,29831176000.0
2091.0,29755275000.0
2092.0,29791967000.0
2093.0,29417380000.0
2094.0,29278726000.0
2095.0,29663076000.0
2096.0,29070530000.0
2097.0,28896080000.0
2098.0,28744997000.0
2099.0,28661674000.0
2100.0,28653060000.0
