time,MRI-ESM2-0
2000.0,1417673200.0
2001.0,1412961200.0
2002.0,1426973200.0
2003.0,1418652700.0
2004.0,1428405000.0
2005.0,1459243400.0
2006.0,1451813500.0
2007.0,1436500900.0
2008.0,1425472400.0
2009.0,1423392800.0
2010.0,1452351600.0
2011.0,1419320300.0
2012.0,1416651600.0
2013.0,1410649500.0
2014.0,1409062800.0
2015.0,1401954000.0
2016.0,1394977300.0
2017.0,1392716400.0
2018.0,1385500800.0
2019.0,1376267000.0
2020.0,1365888100.0
2021.0,1359813900.0
2022.0,1339211800.0
2023.0,1382419300.0
2024.0,1320130200.0
2025.0,1278807700.0
2026.0,1256155900.0
2027.0,1228990800.0
2028.0,1190495600.0
2029.0,1157791900.0
2030.0,1106601600.0
2031.0,1097495600.0
2032.0,1052883260.0
2033.0,1015819900.0
2034.0,998101500.0
2035.0,963833540.0
2036.0,939769860.0
2037.0,904117300.0
2038.0,868480260.0
2039.0,853868700.0
2040.0,804622100.0
2041.0,791484600.0
2042.0,770300740.0
2043.0,835303940.0
2044.0,763156700.0
2045.0,738661900.0
2046.0,711597000.0
2047.0,697536300.0
2048.0,662432200.0
2049.0,652311200.0
2050.0,647193600.0
2051.0,637979900.0
2052.0,623380400.0
2053.0,618854660.0
2054.0,595504400.0
2055.0,589079500.0
2056.0,576933440.0
2057.0,567395300.0
2058.0,555240500.0
2059.0,533935970.0
2060.0,520993380.0
2061.0,502597630.0
2062.0,497644100.0
2063.0,484687300.0
2064.0,453266270.0
2065.0,438875600.0
2066.0,432974370.0
2067.0,407093020.0
2068.0,389921730.0
2069.0,374585200.0
2070.0,370334750.0
2071.0,351769700.0
2072.0,334218080.0
2073.0,326308670.0
2074.0,320460860.0
2075.0,308455170.0
2076.0,303866530.0
2077.0,281064540.0
2078.0,271709900.0
2079.0,269821100.0
2080.0,268679780.0
2081.0,266460130.0
2082.0,257651800.0
2083.0,256120940.0
2084.0,242865900.0
2085.0,243515500.0
2086.0,235716900.0
2087.0,234301570.0
2088.0,233096640.0
2089.0,229545490.0
2090.0,221163380.0
2091.0,216835800.0
2092.0,214850030.0
2093.0,203999090.0
2094.0,201550860.0
2095.0,197474240.0
2096.0,194934880.0
2097.0,192186880.0
2098.0,194074460.0
2099.0,190690060.0
2100.0,181254900.0
