time,MRI-ESM2-0
2000.0,710096576600.0
2001.0,709224918100.0
2002.0,708403888560.0
2003.0,708178113600.0
2004.0,708467239360.0
2005.0,707593233500.0
2006.0,706996642800.0
2007.0,705862386240.0
2008.0,704878814760.0
2009.0,704585292400.0
2010.0,704275368700.0
2011.0,704668597900.0
2012.0,702864646400.0
2013.0,702560392960.0
2014.0,703131508000.0
2015.0,701474725200.0
2016.0,702849664000.0
2017.0,699502828400.0
2018.0,698724646800.0
2019.0,699181349900.0
2020.0,697251094800.0
2021.0,695696131860.0
2022.0,694972137200.0
2023.0,693035145600.0
2024.0,691767261100.0
2025.0,690736431700.0
2026.0,689130326200.0
2027.0,687613816000.0
2028.0,685881249600.0
2029.0,684091169100.0
2030.0,682348362600.0
2031.0,680003484400.0
2032.0,677673911900.0
2033.0,675864760340.0
2034.0,673482080290.0
2035.0,672192165550.0
2036.0,669388498170.0
2037.0,667079189870.0
2038.0,663820384480.0
2039.0,660547902430.0
2040.0,657988374040.0
2041.0,654532808840.0
2042.0,651667932000.0
2043.0,648380333880.0
2044.0,644387682260.0
2045.0,641054200650.0
2046.0,637436082470.0
2047.0,633681214890.0
2048.0,629950640390.0
2049.0,626192699620.0
2050.0,622571166400.0
2051.0,618828221000.0
2052.0,615965122690.0
2053.0,611353751980.0
2054.0,608081642130.0
2055.0,604249982860.0
2056.0,600652665010.0
2057.0,596969581230.0
2058.0,592722114740.0
2059.0,589424041520.0
2060.0,585462992300.0
2061.0,581321133140.0
2062.0,577324832760.0
2063.0,573596446400.0
2064.0,569438806410.0
2065.0,566789317220.0
2066.0,562735611140.0
2067.0,558852494050.0
2068.0,554746459070.0
2069.0,550755134300.0
2070.0,546218334630.0
2071.0,541876569140.0
2072.0,537691809360.0
2073.0,533994692120.0
2074.0,529617920320.0
2075.0,525883763640.0
2076.0,521737514320.0
2077.0,516381508200.0
2078.0,512555336450.0
2079.0,507426910150.0
2080.0,502921024540.0
2081.0,498228197180.0
2082.0,492508282860.0
2083.0,488207610350.0
2084.0,483032189270.0
2085.0,477897063820.0
2086.0,471372673960.0
2087.0,467781026860.0
2088.0,461170209880.0
2089.0,455736137520.0
2090.0,446520742610.0
2091.0,439890026890.0
2092.0,432580287440.0
2093.0,424877191260.0
2094.0,419879364524.0
2095.0,412953616126.0
2096.0,407134623250.0
2097.0,402408801216.0
2098.0,395551464176.0
2099.0,391021235930.0
2100.0,385397790120.0
