time,MRI-ESM2-0
2000.0,578452690050.0
2001.0,577291964650.0
2002.0,576201679040.0
2003.0,575953698840.0
2004.0,576356436100.0
2005.0,575325042340.0
2006.0,574798021060.0
2007.0,573537040360.0
2008.0,572300989640.0
2009.0,572108954500.0
2010.0,571065657400.0
2011.0,571689870900.0
2012.0,569310604000.0
2013.0,568690404000.0
2014.0,570207152600.0
2015.0,567074947760.0
2016.0,568655039850.0
2017.0,564825586400.0
2018.0,564043797100.0
2019.0,564639326800.0
2020.0,561930526650.0
2021.0,560169221300.0
2022.0,558901219000.0
2023.0,556571142000.0
2024.0,554854664200.0
2025.0,553478169540.0
2026.0,551174959440.0
2027.0,549332227000.0
2028.0,547261919350.0
2029.0,544845878100.0
2030.0,542788248450.0
2031.0,540116924100.0
2032.0,537403144960.0
2033.0,535209093490.0
2034.0,532241392000.0
2035.0,530402648890.0
2036.0,527494316260.0
2037.0,524586574510.0
2038.0,520918593800.0
2039.0,516957797300.0
2040.0,514048410400.0
2041.0,510136608440.0
2042.0,506667888300.0
2043.0,502614286100.0
2044.0,498535041270.0
2045.0,494519022220.0
2046.0,490386153700.0
2047.0,486202331900.0
2048.0,481746481570.0
2049.0,477461145940.0
2050.0,473051133250.0
2051.0,468946474320.0
2052.0,466082217920.0
2053.0,460968625670.0
2054.0,457161666750.0
2055.0,452680608290.0
2056.0,448536581910.0
2057.0,444578033460.0
2058.0,440235408910.0
2059.0,436428194540.0
2060.0,432136919550.0
2061.0,427649437190.0
2062.0,423454513810.0
2063.0,419619240420.0
2064.0,415204169590.0
2065.0,412679920700.0
2066.0,408501725660.0
2067.0,404749676790.0
2068.0,400919564940.0
2069.0,396958573180.0
2070.0,393161122730.0
2071.0,389099895620.0
2072.0,384762740420.0
2073.0,381151696340.0
2074.0,377238803850.0
2075.0,373743654600.0
2076.0,369459463520.0
2077.0,364929993870.0
2078.0,361196209880.0
2079.0,356700295940.0
2080.0,352361504170.0
2081.0,347936021680.0
2082.0,343891561540.0
2083.0,340318573560.0
2084.0,335826819290.0
2085.0,331734444110.0
2086.0,327621846354.0
2087.0,323962316290.0
2088.0,319827461730.0
2089.0,315697268380.0
2090.0,311307068060.0
2091.0,307119269864.0
2092.0,302915905486.0
2093.0,298791814480.0
2094.0,294683117350.0
2095.0,290720955074.0
2096.0,286467458634.0
2097.0,281712373314.0
2098.0,277236846726.0
2099.0,273146385148.0
2100.0,269295978340.0
