time,MRI-ESM2-0
2000.0,2169718800.0
2001.0,2164977400.0
2002.0,2154772500.0
2003.0,2191450000.0
2004.0,2127510800.0
2005.0,2116919000.0
2006.0,2103892900.0
2007.0,2088471600.0
2008.0,2082991600.0
2009.0,2085570000.0
2010.0,2063142100.0
2011.0,2065330000.0
2012.0,2038931200.0
2013.0,2025826800.0
2014.0,2017077400.0
2015.0,2022731600.0
2016.0,1980602600.0
2017.0,1961323600.0
2018.0,1934562400.0
2019.0,1893795600.0
2020.0,1865863800.0
2021.0,1838100200.0
2022.0,1794227000.0
2023.0,1749893000.0
2024.0,1682562600.0
2025.0,1632349000.0
2026.0,1594342100.0
2027.0,1540607500.0
2028.0,1507240600.0
2029.0,1438806900.0
2030.0,1398239500.0
2031.0,1329328400.0
2032.0,1277460500.0
2033.0,1244309800.0
2034.0,1200783700.0
2035.0,1171106400.0
2036.0,1127418500.0
2037.0,1084221300.0
2038.0,1051555260.0
2039.0,1010556600.0
2040.0,970421200.0
2041.0,939195300.0
2042.0,917192600.0
2043.0,931288700.0
2044.0,879910200.0
2045.0,849258200.0
2046.0,818903940.0
2047.0,796537860.0
2048.0,784110500.0
2049.0,752328700.0
2050.0,736038600.0
2051.0,707835970.0
2052.0,691045570.0
2053.0,675900000.0
2054.0,653123700.0
2055.0,632029100.0
2056.0,607207800.0
2057.0,583772350.0
2058.0,570652800.0
2059.0,576077630.0
2060.0,547717700.0
2061.0,535436740.0
2062.0,520288000.0
2063.0,547952300.0
2064.0,506954700.0
2065.0,488817920.0
2066.0,475578020.0
2067.0,458961730.0
2068.0,448709440.0
2069.0,439426560.0
2070.0,432925980.0
2071.0,418217380.0
2072.0,440382980.0
2073.0,545463550.0
2074.0,441747870.0
2075.0,480652380.0
2076.0,392961700.0
2077.0,411202270.0
2078.0,389725100.0
2079.0,370962300.0
2080.0,374404960.0
2081.0,381285220.0
2082.0,378113060.0
2083.0,366307870.0
2084.0,405547330.0
2085.0,360840260.0
2086.0,357654700.0
2087.0,396091840.0
2088.0,393555550.0
2089.0,375679800.0
2090.0,457795620.0
2091.0,403763940.0
2092.0,373728670.0
2093.0,449930900.0
2094.0,425435800.0
2095.0,398274400.0
2096.0,512707200.0
2097.0,390302600.0
2098.0,376145470.0
2099.0,372282660.0
2100.0,368721100.0
2101.0,405330780.0
