time,MRI-ESM2-0
2000.0,578452690050.0
2001.0,577291964650.0
2002.0,576201679040.0
2003.0,575953698840.0
2004.0,576356436100.0
2005.0,575325042340.0
2006.0,574798021060.0
2007.0,573537040360.0
2008.0,572300989640.0
2009.0,572108954500.0
2010.0,571065657400.0
2011.0,571689870900.0
2012.0,569310604000.0
2013.0,568690404000.0
2014.0,570207152600.0
2015.0,567074947760.0
2016.0,568655039850.0
2017.0,564825586400.0
2018.0,564043797100.0
2019.0,564639326800.0
2020.0,561930526650.0
2021.0,560514150000.0
2022.0,558774354600.0
2023.0,557140681600.0
2024.0,555632678000.0
2025.0,555498174240.0
2026.0,552428325300.0
2027.0,550459326800.0
2028.0,548240512400.0
2029.0,545721341400.0
2030.0,543861410940.0
2031.0,541318764300.0
2032.0,539318070300.0
2033.0,537674850700.0
2034.0,535127915700.0
2035.0,532646460030.0
2036.0,530276716960.0
2037.0,527461776960.0
2038.0,525018688500.0
2039.0,522649357860.0
2040.0,519861603700.0
2041.0,518091989370.0
2042.0,518491611400.0
2043.0,511996759500.0
2044.0,508900909000.0
2045.0,505970388000.0
2046.0,502934419900.0
2047.0,500046599580.0
2048.0,496579706960.0
2049.0,493568626630.0
2050.0,491258727230.0
2051.0,487107028270.0
2052.0,483532850020.0
2053.0,480151092870.0
2054.0,476734405460.0
2055.0,473223217200.0
2056.0,469955156160.0
2057.0,466224489410.0
2058.0,462811387130.0
2059.0,459366043380.0
2060.0,456420799570.0
2061.0,452260163100.0
2062.0,449136256470.0
2063.0,445324938230.0
2064.0,443277391650.0
2065.0,438667310530.0
2066.0,435209143340.0
2067.0,431560379180.0
2068.0,427697611050.0
2069.0,424762266790.0
2070.0,420490829010.0
2071.0,416147468340.0
2072.0,412231974870.0
2073.0,409030168250.0
2074.0,405242878500.0
2075.0,401888242420.0
2076.0,397857644460.0
2077.0,393947131380.0
2078.0,389886115920.0
2079.0,386214588750.0
2080.0,382817096320.0
2081.0,378893080090.0
2082.0,375111819980.0
2083.0,371325331970.0
2084.0,367945331700.0
2085.0,364138351810.0
2086.0,360216350640.0
2087.0,356426577810.0
2088.0,352651804070.0
2089.0,349137536650.0
2090.0,345511502060.0
2091.0,342110555060.0
2092.0,338744063590.0
2093.0,334277116190.0
2094.0,330633241590.0
2095.0,327172774030.0
2096.0,323304434060.0
2097.0,319749802980.0
2098.0,316187510496.0
2099.0,313898304730.0
2100.0,312250095300.0
2101.0,306203832850.0
