,cmip,gcm_original,gcm,scenario,rgi_reg,end_year,bias_correction,perc_area_missing,fpath,exp,historical_future_option,oggm_version
CMIP6:2100:MRI-ESM2-0:ssp585:RGI07,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI07,2101,2000-2019,2.090760563921118e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI07/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI07,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI07,2101,2000-2019,2.090760563921118e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI07/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI07,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI07,2101,2000-2019,2.090760563921118e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI07/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI14,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI14,2101,2000-2019,9.759207928861927e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI14/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI14,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI14,2101,2000-2019,9.759207928861927e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI14/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI14,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI14,2101,2000-2019,9.759207928861927e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI14/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI19,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI19,2101,2000-2019,0.0008505559223001423,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI19/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI19,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI19,2101,2000-2019,0.0008505559223001423,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI19/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI19,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI19,2101,2000-2019,0.0008505559223001423,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI19/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI13,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI13,2101,2000-2019,0.0001410044314374572,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI13/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI13,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI13,2101,2000-2019,0.0001410044314374572,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI13/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI13,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI13,2101,2000-2019,0.00014562885755479613,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI13/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI04,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI04,2101,2000-2019,7.332183727795686e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI04/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI04,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI04,2101,2000-2019,7.332183727795686e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI04/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI04,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI04,2101,2000-2019,7.332183727795686e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI04/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI17,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI17,2101,2000-2019,0.0006184698944037667,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI17/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI17,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI17,2101,2000-2019,0.0006184698944037667,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI17/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI17,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI17,2101,2000-2019,0.0006184698944037667,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI17/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI10,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI10,2101,2000-2019,0.035764388388461486,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI10/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI10,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI10,2101,2000-2019,0.035764388388461486,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI10/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI10,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI10,2101,2000-2019,0.035764388388461486,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI10/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI09,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI09,2101,2000-2019,0.0,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI09/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI09,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI09,2101,2000-2019,0.0,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI09/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI09,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI09,2101,2000-2019,0.0,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI09/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI03,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI03,2101,2000-2019,1.4508521411181183e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI03/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
