,cmip,gcm_original,gcm,scenario,rgi_reg,end_year,bias_correction,perc_area_missing,fpath,exp,historical_future_option,oggm_version
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-11,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-11,2101,2000-2019,0.000620332465015716,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-11/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-11,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-11,2101,2000-2019,0.000620332465015716,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-11/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-11,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-11,2101,2000-2019,0.000620332465015716,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-11/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-08,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-08,2101,2000-2019,0.0002434211406651126,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-08/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-08,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-08,2101,2000-2019,0.0002434211406651126,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-08/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-08,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-08,2101,2000-2019,0.0002434211406651126,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-08/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-02,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-02,2101,2000-2019,0.0018893783105029189,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-02/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-02,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-02,2101,2000-2019,0.0018893783105029189,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-02/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-02,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-02,2101,2000-2019,0.0018893783105029189,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-02/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-05,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-05,2101,2000-2019,9.557063237824216e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-05/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-05,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-05,2101,2000-2019,9.557063237824216e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-05/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-05,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-05,2101,2000-2019,9.557063237824216e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-05/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-16,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-16,2101,2000-2019,0.0011518997057727812,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-16/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-16,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-16,2101,2000-2019,0.0011518997057727812,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-16/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-16,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-16,2101,2000-2019,0.0011518997057727812,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-16/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-18,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-18,2101,2000-2019,0.0010737004311449283,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-18/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-18,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-18,2101,2000-2019,0.0010737004311449283,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-18/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-18,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-18,2101,2000-2019,0.0010737004311449283,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-18/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
