,n_glaciers,n_missing_glaciers,rgi_area_km2,missing_area_km2,missing_area_perc
RGI12,1888,339,1306.992,155.81400000000002,0.11921572588049507
RGI10,5151,141,2410.051,86.19399999999999,0.035764388388461486
RGI16,2939,28,2341.036,16.329,0.006975116999482281
RGI02,18855,555,14524.224,27.581000000000003,0.0018989654800146295
RGI19,2752,396,132867.219,113.01100000000002,0.0008505559223001425
RGI11,3927,59,2092.1459999999997,1.4109999999999998,0.00067442711933106
RGI15,13119,20,14734.204,9.784,0.000664033157135601
RGI17,15908,165,29429.079999999998,18.200999999999997,0.0006184698944037665
RGI01,27108,62,86725.053,25.017999999999997,0.00028847488856536066
RGI08,3417,10,2949.103,0.505,0.0001712385087940299
RGI13,54429,79,49303.41500000001,7.180000000000001,0.00014562885755479613
RGI14,27988,25,33568.298,3.276,9.759207928861927e-05
RGI05,19306,29,89717.06599999999,7.9799999999999995,8.894628810086144e-05
RGI04,7415,15,40888.228,2.998,7.332183727795687e-05
RGI18,3537,1,1161.801,0.031,2.668271072240427e-05
RGI03,4556,11,105110.64199999999,1.525,1.4508521411181183e-05
RGI07,1615,2,33958.933999999994,0.07100000000000001,2.090760563921118e-06
RGI06,568,0,11059.699999999999,0.0,0.0
RGI09,1069,0,51591.6,0.0,0.0
