time,MRI-ESM2-0
2000.0,19520868000000.0
2001.0,19555754000000.0
2002.0,19529795000000.0
2003.0,19479954000000.0
2004.0,19414777000000.0
2005.0,19325270000000.0
2006.0,19243410000000.0
2007.0,19192820000000.0
2008.0,19107050000000.0
2009.0,19124892000000.0
2010.0,19038270000000.0
2011.0,18955182000000.0
2012.0,18909860000000.0
2013.0,18865996000000.0
2014.0,18766900000000.0
2015.0,18681530000000.0
2016.0,18604158000000.0
2017.0,18424774000000.0
2018.0,18300734000000.0
2019.0,18183312000000.0
2020.0,18005057000000.0
2021.0,17933560000000.0
2022.0,17875778000000.0
2023.0,17717430000000.0
2024.0,17587386000000.0
2025.0,17448553000000.0
2026.0,17347371000000.0
2027.0,17251311000000.0
2028.0,17187792000000.0
2029.0,17052296000000.0
2030.0,17007351000000.0
2031.0,16773160000000.0
2032.0,16625225000000.0
2033.0,16488059000000.0
2034.0,16417201000000.0
2035.0,16368773000000.0
2036.0,16266983000000.0
2037.0,16155300000000.0
2038.0,15930617000000.0
2039.0,15740354000000.0
2040.0,15525865000000.0
2041.0,15406171000000.0
2042.0,15157086000000.0
2043.0,15015260000000.0
2044.0,14866458000000.0
2045.0,14707422000000.0
2046.0,14593148000000.0
2047.0,14452139000000.0
2048.0,14288566000000.0
2049.0,14108042000000.0
2050.0,13973306000000.0
2051.0,13803444000000.0
2052.0,13741437000000.0
2053.0,13622983000000.0
2054.0,13468353000000.0
2055.0,13312878000000.0
2056.0,13181342000000.0
2057.0,13074567000000.0
2058.0,12867815000000.0
2059.0,12703830000000.0
2060.0,12479262000000.0
2061.0,12312072000000.0
2062.0,12175025000000.0
2063.0,12002029000000.0
2064.0,11743438000000.0
2065.0,11640657000000.0
2066.0,11467009000000.0
2067.0,11352509000000.0
2068.0,11214241000000.0
2069.0,11121569000000.0
2070.0,11017730000000.0
2071.0,10842502000000.0
2072.0,10668796000000.0
2073.0,10503173000000.0
2074.0,10357198000000.0
2075.0,10212295000000.0
2076.0,10057979000000.0
2077.0,9858999000000.0
2078.0,9670189000000.0
2079.0,9473692000000.0
2080.0,9289567000000.0
2081.0,9099343000000.0
2082.0,8933832000000.0
2083.0,8780115300000.0
2084.0,8598434000000.0
2085.0,8428291000000.0
2086.0,8293138300000.0
2087.0,8203235000000.0
2088.0,8054865700000.0
2089.0,7946454000000.0
2090.0,7772975000000.0
2091.0,7623119000000.0
2092.0,7464429000000.0
2093.0,7360429000000.0
2094.0,7217779600000.0
2095.0,7084971000000.0
2096.0,6966433300000.0
2097.0,6836151400000.0
2098.0,6687396700000.0
2099.0,6575048000000.0
2100.0,6457618000000.0
