time,MRI-ESM2-0
2000.0,28875490000000.0
2001.0,28862147000000.0
2002.0,28842150000000.0
2003.0,28831405000000.0
2004.0,28783013000000.0
2005.0,28817958000000.0
2006.0,28783596000000.0
2007.0,28797498000000.0
2008.0,28713633000000.0
2009.0,28644546000000.0
2010.0,28535167000000.0
2011.0,28467387000000.0
2012.0,28385630000000.0
2013.0,28258744000000.0
2014.0,28320322000000.0
2015.0,28280156000000.0
2016.0,28191654000000.0
2017.0,28182120000000.0
2018.0,28164925000000.0
2019.0,28173641000000.0
2020.0,28189106000000.0
2021.0,28076990000000.0
2022.0,28069417000000.0
2023.0,28033790000000.0
2024.0,28052760000000.0
2025.0,27953568000000.0
2026.0,27907376000000.0
2027.0,27843948000000.0
2028.0,27792498000000.0
2029.0,27706626000000.0
2030.0,27671384000000.0
2031.0,27529161000000.0
2032.0,27454030000000.0
2033.0,27492046000000.0
2034.0,27421170000000.0
2035.0,27323690000000.0
2036.0,27274150000000.0
2037.0,27249833000000.0
2038.0,27180224000000.0
2039.0,27059032000000.0
2040.0,27044560000000.0
2041.0,27046942000000.0
2042.0,26964482000000.0
2043.0,26825900000000.0
2044.0,26783414000000.0
2045.0,26749235000000.0
2046.0,26718792000000.0
2047.0,26707443000000.0
2048.0,26679225000000.0
2049.0,26575498000000.0
2050.0,26497058000000.0
2051.0,26439668000000.0
2052.0,26331866000000.0
2053.0,26309944000000.0
2054.0,26277380000000.0
2055.0,26193730000000.0
2056.0,26095190000000.0
2057.0,26126083000000.0
2058.0,26108553000000.0
2059.0,26099149000000.0
2060.0,26065263000000.0
2061.0,25927103000000.0
2062.0,25792954000000.0
2063.0,25698840000000.0
2064.0,25686473000000.0
2065.0,25583417000000.0
2066.0,25488951000000.0
2067.0,25434505000000.0
2068.0,25357140000000.0
2069.0,25254284000000.0
2070.0,25166304000000.0
2071.0,25070146000000.0
2072.0,24977384000000.0
2073.0,24854414000000.0
2074.0,24813119000000.0
2075.0,24754233000000.0
2076.0,24772092000000.0
2077.0,24728306000000.0
2078.0,24727184000000.0
2079.0,24647922000000.0
2080.0,24658718000000.0
2081.0,24607340000000.0
2082.0,24575410000000.0
2083.0,24532623000000.0
2084.0,24444555000000.0
2085.0,24373826000000.0
2086.0,24341482000000.0
2087.0,24236364000000.0
2088.0,24207218000000.0
2089.0,24203791000000.0
2090.0,24139948000000.0
2091.0,24139969000000.0
2092.0,24082039000000.0
2093.0,23953907000000.0
2094.0,23931663000000.0
2095.0,23941679000000.0
2096.0,23931300000000.0
2097.0,23854752000000.0
2098.0,23769706000000.0
2099.0,23714550000000.0
2100.0,23707595000000.0
