time,MRI-ESM2-0
2000.0,13961525000000.0
2001.0,13938778000000.0
2002.0,13920155000000.0
2003.0,13908905000000.0
2004.0,13906257000000.0
2005.0,13902708000000.0
2006.0,13890666000000.0
2007.0,13875878000000.0
2008.0,13871459000000.0
2009.0,13864849000000.0
2010.0,13851976000000.0
2011.0,13845625000000.0
2012.0,13841702000000.0
2013.0,13819358000000.0
2014.0,13789222000000.0
2015.0,13796335000000.0
2016.0,13783359000000.0
2017.0,13749923000000.0
2018.0,13742709000000.0
2019.0,13721727000000.0
2020.0,13707455000000.0
2021.0,13693329000000.0
2022.0,13672509000000.0
2023.0,13654670000000.0
2024.0,13630316000000.0
2025.0,13599678000000.0
2026.0,13576917000000.0
2027.0,13552717000000.0
2028.0,13501263000000.0
2029.0,13454284000000.0
2030.0,13386163000000.0
2031.0,13349295000000.0
2032.0,13307962000000.0
2033.0,13274113000000.0
2034.0,13222804000000.0
2035.0,13178136000000.0
2036.0,13141353000000.0
2037.0,13088835000000.0
2038.0,13021096000000.0
2039.0,12974771000000.0
2040.0,12868664000000.0
2041.0,12778211000000.0
2042.0,12710636000000.0
2043.0,12669561000000.0
2044.0,12598330000000.0
2045.0,12512648000000.0
2046.0,12443374000000.0
2047.0,12369760000000.0
2048.0,12288954000000.0
2049.0,12208431000000.0
2050.0,12128687000000.0
2051.0,12062043000000.0
2052.0,11954792000000.0
2053.0,11821258000000.0
2054.0,11721238000000.0
2055.0,11648330000000.0
2056.0,11542950000000.0
2057.0,11439556000000.0
2058.0,11301789000000.0
2059.0,11172321000000.0
2060.0,11074914000000.0
2061.0,10962623000000.0
2062.0,10883395000000.0
2063.0,10782123000000.0
2064.0,10686731000000.0
2065.0,10562891000000.0
2066.0,10456049000000.0
2067.0,10350075000000.0
2068.0,10225039000000.0
2069.0,10111631000000.0
2070.0,9982439000000.0
2071.0,9848415000000.0
2072.0,9765569000000.0
2073.0,9670614000000.0
2074.0,9557644000000.0
2075.0,9456655000000.0
2076.0,9302329000000.0
2077.0,9172934000000.0
2078.0,9065388000000.0
2079.0,8982080000000.0
2080.0,8879656000000.0
2081.0,8755398300000.0
2082.0,8648831500000.0
2083.0,8538218000000.0
2084.0,8448287700000.0
2085.0,8349662300000.0
2086.0,8222037500000.0
2087.0,8116355700000.0
2088.0,8019761000000.0
2089.0,7908734500000.0
2090.0,7785478600000.0
2091.0,7679897000000.0
2092.0,7577068000000.0
2093.0,7455143600000.0
2094.0,7355915300000.0
2095.0,7257743400000.0
2096.0,7161764000000.0
2097.0,7054474300000.0
2098.0,6959649000000.0
2099.0,6846882000000.0
2100.0,6755711500000.0
