time,MRI-ESM2-0
2000.0,155851700703000.0
2001.0,155728243022000.0
2002.0,155526179616000.0
2003.0,155186379954000.0
2004.0,154871006885000.0
2005.0,154617078682000.0
2006.0,154397571903000.0
2007.0,154103787006000.0
2008.0,153702400005000.0
2009.0,153423088916000.0
2010.0,152913319100000.0
2011.0,152545980250000.0
2012.0,152187844714000.0
2013.0,151866344060000.0
2014.0,151522485072000.0
2015.0,151346445950000.0
2016.0,151063768057000.0
2017.0,150636760614000.0
2018.0,150223658879000.0
2019.0,149964836739000.0
2020.0,149523397202000.0
2021.0,149077681341000.0
2022.0,148598006537000.0
2023.0,148096839727000.0
2024.0,147666753795000.0
2025.0,147229784441000.0
2026.0,146685447143000.0
2027.0,146038217975000.0
2028.0,145481367848000.0
2029.0,144923411248000.0
2030.0,144366078563000.0
2031.0,143672084937000.0
2032.0,143113952532000.0
2033.0,142677227458000.0
2034.0,142059947329000.0
2035.0,141376328316000.0
2036.0,140806743729000.0
2037.0,139950890886000.0
2038.0,139275210748000.0
2039.0,138713855275000.0
2040.0,138041483893000.0
2041.0,137288495243000.0
2042.0,136682320556000.0
2043.0,135854532552000.0
2044.0,135052713317000.0
2045.0,134440678591000.0
2046.0,133851918187000.0
2047.0,133131864324000.0
2048.0,132090531135000.0
2049.0,131319579810000.0
2050.0,130694525436000.0
2051.0,129823149068000.0
2052.0,128832566095000.0
2053.0,127710414369000.0
2054.0,126885418696000.0
2055.0,125781886501000.0
2056.0,124729469196000.0
2057.0,123710471450000.0
2058.0,122664055381000.0
2059.0,121560946258000.0
2060.0,120855387644000.0
2061.0,119863270512000.0
2062.0,119052404550000.0
2063.0,118017998789000.0
2064.0,117113721316000.0
2065.0,116105318536000.0
2066.0,115192839636000.0
2067.0,114191468010000.0
2068.0,112952015087000.0
2069.0,112011514051000.0
2070.0,110829406800000.0
2071.0,109485506200300.0
2072.0,108241242945000.0
2073.0,107268163993600.0
2074.0,106117274362000.0
2075.0,104908110492000.0
2076.0,103726353436200.0
2077.0,102638594770000.0
2078.0,101411930102700.0
2079.0,100225956691000.0
2080.0,99017672416000.0
2081.0,97798456329000.0
2082.0,96690618570700.0
2083.0,95486816196000.0
2084.0,94515761489600.0
2085.0,93345896025000.0
2086.0,92159386636400.0
2087.0,90967279491000.0
2088.0,89876918848700.0
2089.0,88876468970300.0
2090.0,87699212740100.0
2091.0,86649105184800.0
2092.0,85461050143200.0
2093.0,83925512368900.0
2094.0,82679434920800.0
2095.0,81572264816400.0
2096.0,80357480448200.0
2097.0,79123965194600.0
2098.0,78027858133200.0
2099.0,77098637109700.0
2100.0,76245535032500.0
