time,MRI-ESM2-0
2000.0,157363494624000.0
2001.0,157272694200000.0
2002.0,157096975991000.0
2003.0,156758132854000.0
2004.0,156455709526000.0
2005.0,156242685524000.0
2006.0,156057800144000.0
2007.0,155792271150000.0
2008.0,155401748696000.0
2009.0,155122856853000.0
2010.0,154615204564000.0
2011.0,154221259298000.0
2012.0,153848938617000.0
2013.0,153534021018000.0
2014.0,153182471077000.0
2015.0,152997786988000.0
2016.0,152735280248000.0
2017.0,152329099431000.0
2018.0,151914416963000.0
2019.0,151654838865000.0
2020.0,151214811378000.0
2021.0,150778840256000.0
2022.0,150296495097000.0
2023.0,149813374201000.0
2024.0,149392081964000.0
2025.0,148955547044000.0
2026.0,148411404370000.0
2027.0,147738389571000.0
2028.0,147157630588000.0
2029.0,146598915623000.0
2030.0,146036700928000.0
2031.0,145327137213000.0
2032.0,144781036294000.0
2033.0,144337155298000.0
2034.0,143695260105000.0
2035.0,143000922870000.0
2036.0,142416426429000.0
2037.0,141535409088000.0
2038.0,140840983248000.0
2039.0,140284140854000.0
2040.0,139586516796000.0
2041.0,138817041380000.0
2042.0,138203914800000.0
2043.0,137357374663000.0
2044.0,136539900880000.0
2045.0,135919628036000.0
2046.0,135345442955000.0
2047.0,134624699280000.0
2048.0,133555976542000.0
2049.0,132788704269000.0
2050.0,132180601536000.0
2051.0,131304332240000.0
2052.0,130285639068000.0
2053.0,129119579828000.0
2054.0,128277664345000.0
2055.0,127145541708000.0
2056.0,126065251064000.0
2057.0,125026813695000.0
2058.0,123962925708000.0
2059.0,122822599920000.0
2060.0,122112621797000.0
2061.0,121096968980000.0
2062.0,120267704327000.0
2063.0,119190556713000.0
2064.0,118258936792000.0
2065.0,117214331351000.0
2066.0,116284764821000.0
2067.0,115232462123000.0
2068.0,113935902834000.0
2069.0,112970732679000.0
2070.0,111727856655000.0
2071.0,110320144691000.0
2072.0,109007953994000.0
2073.0,107980219407000.0
2074.0,106748016070500.0
2075.0,105488720421300.0
2076.0,104246440028400.0
2077.0,103089646265000.0
2078.0,101787619697000.0
2079.0,100535930038000.0
2080.0,99248016820600.0
2081.0,97933594119700.0
2082.0,96747558241900.0
2083.0,95448465111700.0
2084.0,94406740353700.0
2085.0,93153108811400.0
2086.0,91865412411500.0
2087.0,90593196127900.0
2088.0,89419698623300.0
2089.0,88337369748700.0
2090.0,87086423276500.0
2091.0,85963647944500.0
2092.0,84695002250500.0
2093.0,83040279155800.0
2094.0,81724360558200.0
2095.0,80546647617800.0
2096.0,79256098124900.0
2097.0,77949592593000.0
2098.0,76801895288200.0
2099.0,75816811732400.0
2100.0,74977889688100.0
