time,MRI-ESM2-0
2000.0,155799519795000.0
2001.0,155687157310000.0
2002.0,155497752086000.0
2003.0,155165403630000.0
2004.0,154856539637000.0
2005.0,154610744615000.0
2006.0,154400511063000.0
2007.0,154113523430000.0
2008.0,153715555130000.0
2009.0,153452843730000.0
2010.0,152949544272000.0
2011.0,152594235415000.0
2012.0,152248246136000.0
2013.0,151934362520000.0
2014.0,151598594040000.0
2015.0,151433938462000.0
2016.0,151157152465000.0
2017.0,150748110133000.0
2018.0,150344344596000.0
2019.0,150099209138000.0
2020.0,149665801463000.0
2021.0,149237772271000.0
2022.0,148891102926000.0
2023.0,148162577209000.0
2024.0,147548315472000.0
2025.0,146986897068000.0
2026.0,146422208722000.0
2027.0,145894710501000.0
2028.0,145217424878000.0
2029.0,144686471044000.0
2030.0,144195790094000.0
2031.0,143422268412000.0
2032.0,142735009535000.0
2033.0,142106033536000.0
2034.0,141390906056000.0
2035.0,140703074808000.0
2036.0,139998574144000.0
2037.0,139194676105000.0
2038.0,138352784874000.0
2039.0,137436277761000.0
2040.0,136680417616000.0
2041.0,135673532189000.0
2042.0,134708442271000.0
2043.0,133835217413000.0
2044.0,132692251578000.0
2045.0,131636629622000.0
2046.0,130553637675000.0
2047.0,129475991097000.0
2048.0,128239241483000.0
2049.0,127231021916000.0
2050.0,126053734074000.0
2051.0,124799143870000.0
2052.0,123893219930000.0
2053.0,122776836082000.0
2054.0,121591439519000.0
2055.0,120361205571000.0
2056.0,119236082113000.0
2057.0,118245354652000.0
2058.0,117171154622000.0
2059.0,116162479824000.0
2060.0,114998695249000.0
2061.0,113778435535000.0
2062.0,112525866039000.0
2063.0,111367028130000.0
2064.0,110004408317000.0
2065.0,109178213263000.0
2066.0,107915856173000.0
2067.0,106668994036000.0
2068.0,105321769490400.0
2069.0,104181425218500.0
2070.0,103057819600500.0
2071.0,101709790051000.0
2072.0,100439398084000.0
2073.0,99178270924400.0
2074.0,97844584554100.0
2075.0,96634786733700.0
2076.0,95370585705000.0
2077.0,93780479403900.0
2078.0,92524630700200.0
2079.0,91121949976300.0
2080.0,89675352663400.0
2081.0,88157814586300.0
2082.0,86751708518100.0
2083.0,85587961124600.0
2084.0,84249120605200.0
2085.0,82926490677000.0
2086.0,81485272503000.0
2087.0,80249071899500.0
2088.0,78919296273400.0
2089.0,77604846606600.0
2090.0,76128717379800.0
2091.0,74579519535900.0
2092.0,73032576501300.0
2093.0,71459659908000.0
2094.0,69940984996100.0
2095.0,68382864570100.0
2096.0,66865854492000.0
2097.0,65363906424500.0
2098.0,63757645963000.0
2099.0,62343186854300.0
2100.0,61037047344700.0
